央视频道,#genre#
CCTV12,http://14.145.141.110:8081/hls/12/index.m3u8
CCTV13,http://14.145.141.110:8081/hls/13/index.m3u8
CCTV14,http://14.145.141.110:8081/hls/14/index.m3u8
CCTV15,http://14.145.141.110:8081/hls/15/index.m3u8
CCTV16,http://14.145.141.110:8081/hls/16/index.m3u8
CCTV17,http://14.145.141.110:8081/hls/17/index.m3u8
奥点云,,#genre#
铜陵公共,http://51938.hlsplay.aodianyun.com/tv_radio_51938/tv_channel_3457.m3u8?auth_key=4855259927-0-0-41ab8b5a0886447775bb9e4d2811c725&extra_key=cI8hTnpR8WFcQqIM0SRymtxVCFrQ-FCBLa9uFZMpSqrwP1crI5sY1CSmQMfbpmMRFPmMFYlVYDndRAztcPZ1v9QL0CTddubz4DwT7DS0h1_XkzBleYy6Lgb-ih5Au5cAEQgpV-MJiFB3Oyge-lrj-KZmR4nVwNtzVgHVLOWNS50
铜陵科技,http://51938.hlsplay.aodianyun.com/tv_radio_51938/tv_channel_3456.m3u8?auth_key=4855259682-0-0-a046aba59253554ac5a705b29d38ec53&extra_key=tgTYeJPFoKl6L2oTJzsVhQB57DXYbDqezEb8MskHVg14rXrg_Xu2v9FmDv83PaGm58WAe7SOIEPle3rp17WiJ4YDMG5Pbwja9tzrw0b174UxcfHXuK3SJ0AHdj4goCprj3tB4lmgacn2ACJU72OxUMtqJH__oQnMSYuOC2rOrOE
安庆新闻综合,http://52223.hlsplay.aodianyun.com/tv_radio_52223/tv_channel_3214.m3u8
安庆经济生活,http://52223.hlsplay.aodianyun.com/tv_radio_52223/tv_channel_3215.m3u8
随州综合,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_304.m3u8?auth_key=4836074354-0-0-d3ae3e237ae5fdaa7e72d8b930ff507b&extra_key=q_KhUzRNviTQMw35AK7VUOsxUuO3fkLbRbWjHBywJErK0zgP7mqTsFvo50t7UieqiF-pvnPCIMJa5QdRQ1gLPBYWz9HOG7TAdI5vRG232V88z98QUcOS1P6iUQbACyEaoEVKLRe_Am23Ezeahvwg0pDBetjQHrLPx7P8mro2vqw15rvUQKLSF-HBByajerez
随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8?auth_key=4834621829-0-0-49c63c7de26b595a9177e498db618f79&extra_key=xQtKveJFBYYdE5xPP5Qc5y3qlfhlj-BcHOcbWxez9NxCHHoFi0Lp44BN8aqi2_k9URCU-rsf8mQz8CYifgEaMzixzi63CT1KgCDexQ0cD5X0e0lUMZaQy0DMOXcFpW1Cf9zn7psgSNcUQiA2OGcxi7TXk-_FyDGcu767szWh8SQJ0Vr0uNRbiqE2jzk7ICiX
恩施新闻综合.http://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1812.m3u8
恩施文旅,http://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1811.m3u8
